CSS File,Legacy calls remaining,Files containing legacy calls
ui/softDropDownButton.css,1,"front_end/ui/SoftDropDown.js"
ui/splitWidget.css,1,"front_end/ui/SplitWidget.js"
ui/suggestBox.css,1,"front_end/ui/SuggestBox.js"
ui/tabbedPane.css,1,"front_end/ui/TabbedPane.js"
ui/targetCrashedScreen.css,0,""
ui/textButton.css,1,"front_end/ui/utils/inject-core-styles.js"
ui/textPrompt.css,1,"front_end/ui/TextPrompt.js"
ui/themeColors.css,0,""
ui/toolbar.css,1,"front_end/ui/Toolbar.js"
ui/tooltip.css,1,"front_end/ui/Tooltip.js"
ui/treeoutline.css,1,"front_end/ui/Treeoutline.js"
ui/viewContainers.css,1,"front_end/ui/ViewManager.js"
web_audio/audioContextSelector.css,0,""
web_audio/webAudio.css,0,""
webauthn/webauthnPane.css,1,"front_end/webauthn/WebauthnPane.js"
issues/cspViolationsListView.css,0,""
issues/cspViolationsView.css,0,""
inline_editor/fontEditor.css,1,"front_end/inline_editor/FontEditor.js"
